Class,ROC-AUC,F1 Score
toxic,0.7949112452924213,0.4611406844106464
severe_toxic,0.6767655646417297,0.1713925645872716
obscene,0.8250934479544533,0.48963186261076097
threat,0.6672130996458745,0.20083682008368203
insult,0.7730750446161722,0.4097189137684611
identity_hate,0.6980359278480694,0.2837837837837838
